
> ai-recruitment-saas-frontend@0.1.0 dev
> next dev --hostname 0.0.0.0

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local
✓ Ready in 1984ms

○ Compiling / ...
 GET / 200 in 9.0s (next.js: 8.5s, proxy.ts: 12ms, application-code: 463ms)
 GET /login 200 in 12.1s (next.js: 10.8s, proxy.ts: 30ms, application-code: 1332ms)
 GET / 200 in 12.4s (next.js: 11.4s, proxy.ts: 249ms, application-code: 801ms)
 GET /login 200 in 403ms (next.js: 45ms, proxy.ts: 18ms, application-code: 340ms)
 GET /register 200 in 2.8s (next.js: 2.3s, proxy.ts: 12ms, application-code: 486ms)
 GET /jobs 200 in 2.8s (next.js: 2.5s, proxy.ts: 11ms, application-code: 329ms)
 GET /login 200 in 143ms (next.js: 14ms, proxy.ts: 8ms, application-code: 121ms)
 GET /login 200 in 209ms (next.js: 56ms, proxy.ts: 8ms, application-code: 145ms)
 GET /candidate/dashboard 200 in 1183ms (next.js: 1006ms, proxy.ts: 13ms, application-code: 164ms)
 GET /login 200 in 230ms (next.js: 27ms, proxy.ts: 24ms, application-code: 179ms)
 GET /login 200 in 185ms (next.js: 14ms, proxy.ts: 11ms, application-code: 160ms)
 GET /login 200 in 95ms (next.js: 15ms, proxy.ts: 14ms, application-code: 65ms)
 GET /dashboard 200 in 1119ms (next.js: 1025ms, proxy.ts: 6ms, application-code: 88ms)
 GET /dashboard/applications 200 in 991ms (next.js: 915ms, proxy.ts: 7ms, application-code: 69ms)
 GET /dashboard/pipeline 200 in 1159ms (next.js: 1073ms, proxy.ts: 12ms, application-code: 74ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 2.8s (next.js: 2.6s, proxy.ts: 5ms, application-code: 208ms)
 GET /login 200 in 216ms (next.js: 27ms, proxy.ts: 19ms, application-code: 170ms)
 GET /login 200 in 228ms (next.js: 13ms, proxy.ts: 11ms, application-code: 205ms)
 GET /login 200 in 144ms (next.js: 17ms, proxy.ts: 10ms, application-code: 118ms)
 GET /register 200 in 98ms (next.js: 13ms, proxy.ts: 8ms, application-code: 78ms)
 GET /login 200 in 115ms (next.js: 17ms, proxy.ts: 8ms, application-code: 90ms)
 GET /register 200 in 139ms (next.js: 23ms, proxy.ts: 24ms, application-code: 93ms)
 GET /candidate/dashboard 200 in 107ms (next.js: 16ms, proxy.ts: 8ms, application-code: 82ms)
 GET /jobs 200 in 130ms (next.js: 15ms, proxy.ts: 25ms, application-code: 89ms)
 GET /jobs/front-end-dev-tcs 200 in 2.5s (next.js: 2.4s, proxy.ts: 6ms, application-code: 80ms)
 GET /jobs 200 in 139ms (next.js: 18ms, proxy.ts: 12ms, application-code: 109ms)
 GET /candidate/dashboard 200 in 263ms (next.js: 13ms, proxy.ts: 9ms, application-code: 241ms)
 GET /candidate/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 2.8s (next.js: 2.7s, proxy.ts: 7ms, application-code: 112ms)
 GET /login 200 in 81ms (next.js: 12ms, proxy.ts: 7ms, application-code: 62ms)
 GET /dashboard 200 in 113ms (next.js: 12ms, proxy.ts: 8ms, application-code: 92ms)
 GET /dashboard/applications 200 in 58ms (next.js: 8ms, proxy.ts: 5ms, application-code: 45ms)
 GET /dashboard/pipeline 200 in 114ms (next.js: 13ms, proxy.ts: 13ms, application-code: 88ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 112ms (next.js: 34ms, proxy.ts: 7ms, application-code: 71ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 152ms (next.js: 14ms, proxy.ts: 6ms, application-code: 133ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 359ms (next.js: 51ms, proxy.ts: 8ms, application-code: 301ms)
 GET /dashboard/jobs 200 in 1009ms (next.js: 930ms, proxy.ts: 8ms, application-code: 71ms)
 GET /dashboard/pipeline 200 in 144ms (next.js: 26ms, proxy.ts: 9ms, application-code: 110ms)
 GET /dashboard/applications/ab67a4ed-1331-44c4-b283-dde1a585dd46 200 in 150ms (next.js: 39ms, proxy.ts: 6ms, application-code: 105ms)
 GET /dashboard/jobs 200 in 113ms (next.js: 15ms, proxy.ts: 9ms, application-code: 89ms)
 GET /dashboard/pipeline 200 in 61ms (next.js: 8ms, proxy.ts: 5ms, application-code: 48ms)
 GET /dashboard/applications/2646add9-a376-4381-b957-1c441fec890d 200 in 120ms (next.js: 31ms, proxy.ts: 7ms, application-code: 83ms)
✓ Compiled in 1064ms
 GET /login?callbackUrl=%2Fdashboard 200 in 1726ms (next.js: 434ms, proxy.ts: 331ms, application-code: 960ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1572ms (next.js: 76ms, proxy.ts: 56ms, application-code: 1440ms)
 GET /login?callbackUrl=%2Fdashboard 200 in 1737ms (next.js: 235ms, proxy.ts: 46ms, application-code: 1456ms)
 GET /login?callbackUrl=%2Fdashboard%2Fpipeline 200 in 1774ms (next.js: 132ms, proxy.ts: 67ms, application-code: 1576ms)
